,train_size,train_acc,train_f1,test_acc,test_f1
0,150,0.9866666666666666,0.9872592592592593,0.6766242328954709,0.663080452208778
1,160,0.9874999999999999,0.9881944444444445,0.6728711264391135,0.6612362221657869
2,170,0.9823529411764705,0.9828384687208216,0.711112238170107,0.7073467507036882
3,180,0.9944444444444444,0.9939153439153439,0.7071055434396714,0.6997272621352478
